name,version,directory,repository,summary,from package.json,from license,from readme
@babel/plugin-proposal-class-properties,7.14.5,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@babel/plugin-proposal-class-properties,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-proposal-class-static-block,7.14.5,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@babel/plugin-proposal-class-static-block,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-proposal-dynamic-import,7.14.5,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@babel/plugin-proposal-dynamic-import,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-proposal-export-namespace-from,7.14.5,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@babel/plugin-proposal-export-namespace-from,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-proposal-json-strings,7.14.5,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@babel/plugin-proposal-json-strings,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-proposal-logical-assignment-operators,7.14.5,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@babel/plugin-proposal-logical-assignment-operators,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-proposal-nullish-coalescing-operator,7.14.5,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@babel/plugin-proposal-nullish-coalescing-operator,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-proposal-numeric-separator,7.14.5,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@babel/plugin-proposal-numeric-separator,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-proposal-object-rest-spread,7.14.7,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@babel/plugin-proposal-object-rest-spread,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-proposal-optional-catch-binding,7.14.5,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@babel/plugin-proposal-optional-catch-binding,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-proposal-optional-chaining,7.14.5,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@babel/plugin-proposal-optional-chaining,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-proposal-private-methods,7.14.5,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@babel/plugin-proposal-private-methods,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-proposal-private-property-in-object,7.14.5,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@babel/plugin-proposal-private-property-in-object,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-proposal-unicode-property-regex,7.14.5,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@babel/plugin-proposal-unicode-property-regex,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-syntax-async-generators,7.8.4,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@babel/plugin-syntax-async-generators,https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-async-generators,MIT,MIT,MIT,
@babel/plugin-syntax-class-properties,7.12.13,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@babel/plugin-syntax-class-properties,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-syntax-class-static-block,7.14.5,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@babel/plugin-syntax-class-static-block,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-syntax-dynamic-import,7.8.3,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@babel/plugin-syntax-dynamic-import,https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-dynamic-import,MIT,MIT,MIT,
@babel/plugin-syntax-export-namespace-from,7.8.3,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@babel/plugin-syntax-export-namespace-from,https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-export-namespace-from,MIT,MIT,MIT,
@babel/plugin-syntax-json-strings,7.8.3,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@babel/plugin-syntax-json-strings,https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-json-strings,MIT,MIT,MIT,
@babel/plugin-syntax-jsx,7.14.5,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@babel/plugin-syntax-jsx,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-syntax-logical-assignment-operators,7.10.4,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@babel/plugin-syntax-logical-assignment-operators,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-syntax-nullish-coalescing-operator,7.8.3,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@babel/plugin-syntax-nullish-coalescing-operator,https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-nullish-coalescing-operator,MIT,MIT,MIT,
@babel/plugin-syntax-numeric-separator,7.10.4,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@babel/plugin-syntax-numeric-separator,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-syntax-object-rest-spread,7.8.3,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@babel/plugin-syntax-object-rest-spread,https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-object-rest-spread,MIT,MIT,MIT,
@babel/plugin-syntax-optional-catch-binding,7.8.3,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@babel/plugin-syntax-optional-catch-binding,https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-optional-catch-binding,MIT,MIT,MIT,
@babel/plugin-syntax-optional-chaining,7.8.3,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@babel/plugin-syntax-optional-chaining,https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-optional-chaining,MIT,MIT,MIT,
@babel/plugin-syntax-private-property-in-object,7.14.5,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@babel/plugin-syntax-private-property-in-object,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-syntax-top-level-await,7.14.5,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@babel/plugin-syntax-top-level-await,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-transform-arrow-functions,7.14.5,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@babel/plugin-transform-arrow-functions,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-transform-async-to-generator,7.14.5,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@babel/plugin-transform-async-to-generator,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-transform-block-scoped-functions,7.14.5,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@babel/plugin-transform-block-scoped-functions,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-transform-block-scoping,7.14.5,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@babel/plugin-transform-block-scoping,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-transform-classes,7.14.5,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@babel/plugin-transform-classes,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-transform-computed-properties,7.14.5,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@babel/plugin-transform-computed-properties,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-transform-destructuring,7.14.7,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@babel/plugin-transform-destructuring,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-transform-dotall-regex,7.14.5,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@babel/plugin-transform-dotall-regex,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-transform-duplicate-keys,7.14.5,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@babel/plugin-transform-duplicate-keys,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-transform-exponentiation-operator,7.14.5,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@babel/plugin-transform-exponentiation-operator,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-transform-for-of,7.14.5,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@babel/plugin-transform-for-of,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-transform-function-name,7.14.5,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@babel/plugin-transform-function-name,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-transform-literals,7.14.5,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@babel/plugin-transform-literals,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-transform-member-expression-literals,7.14.5,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@babel/plugin-transform-member-expression-literals,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-transform-modules-amd,7.14.5,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@babel/plugin-transform-modules-amd,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-transform-modules-commonjs,7.14.5,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@babel/plugin-transform-modules-commonjs,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-transform-modules-systemjs,7.14.5,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@babel/plugin-transform-modules-systemjs,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-transform-modules-umd,7.14.5,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@babel/plugin-transform-modules-umd,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-transform-named-capturing-groups-regex,7.14.7,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@babel/plugin-transform-named-capturing-groups-regex,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-transform-new-target,7.14.5,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@babel/plugin-transform-new-target,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-transform-object-super,7.14.5,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@babel/plugin-transform-object-super,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-transform-parameters,7.14.5,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@babel/plugin-transform-parameters,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-transform-property-literals,7.14.5,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@babel/plugin-transform-property-literals,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-transform-react-display-name,7.14.5,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@babel/plugin-transform-react-display-name,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-transform-react-jsx,7.14.5,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@babel/plugin-transform-react-jsx,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-transform-react-jsx-development,7.14.5,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@babel/plugin-transform-react-jsx-development,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-transform-react-pure-annotations,7.14.5,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@babel/plugin-transform-react-pure-annotations,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-transform-regenerator,7.14.5,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@babel/plugin-transform-regenerator,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-transform-reserved-words,7.14.5,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@babel/plugin-transform-reserved-words,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-transform-shorthand-properties,7.14.5,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@babel/plugin-transform-shorthand-properties,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-transform-spread,7.14.6,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@babel/plugin-transform-spread,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-transform-sticky-regex,7.14.5,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@babel/plugin-transform-sticky-regex,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-transform-template-literals,7.14.5,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@babel/plugin-transform-template-literals,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-transform-typeof-symbol,7.14.5,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@babel/plugin-transform-typeof-symbol,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-transform-unicode-escapes,7.14.5,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@babel/plugin-transform-unicode-escapes,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/plugin-transform-unicode-regex,7.14.5,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@babel/plugin-transform-unicode-regex,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/preset-env,7.14.8,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@babel/preset-env,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/preset-modules,0.1.4,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@babel/preset-modules,(none),MIT,MIT,MIT,
@babel/preset-react,7.14.5,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@babel/preset-react,https://github.com/babel/babel,MIT,MIT,MIT,
@babel/runtime,7.14.8,/Users/luisherranz/Code/frontity-licenses/frontity-wp-plugins/node_modules/@babel/runtime,https://github.com/babel/babel,MIT,MIT,MIT,
